rank,handle,points,penalty,successfulHackCount,unsuccessfulHackCount,oldDisplayRating,newDisplayRating,points_A,rejectedAttemptCount_A,time_A,points_B,rejectedAttemptCount_B,time_B,points_C,rejectedAttemptCount_C,time_C,points_D,rejectedAttemptCount_D,time_D,points_E,rejectedAttemptCount_E,time_E,OldTrueRating,NewTrueRating
119,kfbguk772,3388.0,0,0,0,1640,1741,424.0,0,2287.0,0.0,1,,1374.0,1,4330.0,1590.0,1,2741.0,0.0,0,,1640,1741
120,askl1997,3360.0,0,0,0,1603,1736,474.0,0,810.0,0.0,2,,1624.0,0,2821.0,1262.0,1,5212.0,0.0,0,,1603,1736
121,pro100leo,3328.0,0,0,0,1500,1773,0.0,1,,804.0,0,2994.0,1390.0,1,4213.0,1134.0,1,6174.0,0.0,0,,1500,1773
122,nokia,3322.0,0,0,0,1643,1740,386.0,0,3430.0,0.0,0,,1288.0,0,5373.0,1648.0,0,2698.0,0.0,0,,1643,1740
123,GoodByeACM,3290.0,0,8,4,1500,1772,490.0,0,323.0,928.0,0,1106.0,0.0,1,,1272.0,0,5478.0,0.0,0,,1500,1772
124,woods,3280.0,0,0,0,1332,1641,0.0,1,,820.0,0,2754.0,1368.0,0,4788.0,1092.0,2,6068.0,0.0,0,,1332,1641
125,amacxf362,3264.0,0,2,1,1601,1734,490.0,0,333.0,936.0,0,962.0,1688.0,0,2373.0,0.0,1,,0.0,0,,1601,1734
126,rekolobov,3216.0,0,0,0,1546,1724,0.0,1,,824.0,0,2682.0,1512.0,0,3674.0,880.0,4,6939.0,0.0,0,,1546,1724
127,charlie02,3212.0,0,0,0,1500,1771,488.0,0,379.0,868.0,0,2023.0,1856.0,0,1121.0,0.0,1,,0.0,0,,1500,1771
128,DimonK,3164.0,0,0,0,1696,1739,0.0,1,,796.0,0,3067.0,1128.0,0,6599.0,1240.0,0,5736.0,0.0,0,,1696,1739
129,a_kabdygali,3158.0,0,1,0,1684,1739,490.0,0,352.0,936.0,0,1000.0,1632.0,0,2768.0,0.0,0,,0.0,0,,1684,1739
130,bli0042,3150.0,0,2,2,1607,1733,490.0,0,359.0,920.0,0,1228.0,1640.0,0,2741.0,0.0,0,,0.0,0,,1607,1733
131,NoEmotions,3146.0,0,5,1,1555,1724,484.0,0,535.0,852.0,0,2236.0,0.0,0,,1360.0,0,4857.0,0.0,0,,1555,1724
132,yaoshimax,3142.0,0,0,0,1695,1738,486.0,0,434.0,920.0,0,1236.0,1736.0,0,1984.0,0.0,0,,0.0,0,,1695,1738
133,j1gsaw,3106.0,0,0,0,1567,1726,476.0,0,733.0,0.0,1,,1480.0,0,3900.0,1150.0,1,6012.0,0.0,0,,1567,1726
134,himank,3098.0,0,1,0,1655,1736,486.0,0,430.0,776.0,0,3360.0,1736.0,0,1995.0,0.0,0,,0.0,0,,1655,1736
134,dennisdaslim,3098.0,0,0,0,1525,1716,488.0,0,360.0,924.0,0,1167.0,1686.0,1,2039.0,0.0,1,,0.0,0,,1525,1716
136,Grzegorz,3092.0,0,0,0,1595,1730,488.0,0,361.0,924.0,0,1178.0,1680.0,0,2407.0,0.0,4,,0.0,0,,1595,1730
137,mirceadino,3086.0,0,0,0,1664,1735,488.0,0,381.0,928.0,0,1116.0,1670.0,1,2106.0,0.0,9,,0.0,0,,1664,1735
138,MiriTheRing,3080.0,0,0,0,1568,1725,488.0,0,361.0,936.0,0,989.0,1656.0,0,2604.0,0.0,4,,0.0,0,,1568,1725
139,speedermen,3076.0,0,5,1,1600,1729,384.0,1,2027.0,924.0,0,1188.0,1318.0,1,4763.0,0.0,1,,0.0,0,,1600,1729
140,itisalways42,3074.0,0,0,0,1649,1733,390.0,1,1818.0,0.0,2,,1438.0,1,3863.0,1246.0,1,5308.0,0.0,0,,1649,1733
141,rumman_sust,3072.0,0,3,1,1678,1734,422.0,1,872.0,864.0,0,2074.0,1536.0,0,3488.0,0.0,0,,0.0,0,,1678,1734
142,yzy,3070.0,0,0,0,1475,1700,486.0,0,467.0,920.0,0,1208.0,1664.0,0,2572.0,0.0,2,,0.0,0,,1475,1700
143,kisaragi_momo,3062.0,0,0,0,1500,1767,490.0,0,359.0,928.0,0,1086.0,1644.0,2,1963.0,0.0,0,,0.0,0,,1500,1767
144,de_inferno,3058.0,0,0,0,1523,1713,434.0,1,493.0,920.0,0,1245.0,1704.0,0,2274.0,0.0,4,,0.0,0,,1523,1713
145,old,3046.0,0,2,1,1551,1719,376.0,2,770.0,904.0,0,1442.0,1616.0,0,2898.0,0.0,1,,0.0,0,,1551,1719
146,chocoguy,3040.0,0,0,0,1679,1732,0.0,1,,884.0,0,1754.0,1096.0,0,6783.0,1060.0,2,6330.0,0.0,0,,1679,1732
147,Maxim,3030.0,0,3,2,1641,1730,436.0,1,466.0,858.0,1,1418.0,1536.0,0,3521.0,0.0,0,,0.0,0,,1641,1730
